Name,Company,Cell Type,Cap (mAh),Continuous C-Rate,Max C Rate,Cells (S),Cells (P),Max Voltage per cell,Min Voltage per cell,Weight (Kg),Price ($),Energy Density (Wh/Kg),Energy per dollar (Wh/Price),Link,Discription
Tattu Plus 16000mAh 6S 15C 22.2V Lipo Battery Pack with XT90S,TATTU,LiPo,16000,5,15,6,1,4.2,2.73,1.932,361,208.7,1116.9,https://genstattu.com/tattu-plus-16000mah-6s-15c-22-2v-lipo-battery-pack-with-xt90s/,
Tattu Pro 22000mAh 51.8V 25C 14S1P Lipo Smart Battery Pack with AS150U-F Plug,TATTU,LiPo,22000,9,25,14,1,4.2,2.73,7.35,1114,176,1161.22,https://genstattu.com/tattu-pro-22000mah-51-8v-25c-14s-1p-lipo-smart-battery-pack-with-as150u-f-plug/,
Tattu Plus 3.0 19000mAh 51.8V 25C 14S1P Lipo Smart Battery Pack with Molex Plug,TATTU,LiPo,19000,9,25,14,1,4.2,2.73,7.9,1054,141.42,1059.96,https://genstattu.com/tattu-plus-3-0-19000mah-51-8v-25c-14s1p-lipo-smart-battery-pack-with-molex-plug/,
Tattu Pro 22000mAh 44.4V 25C 12S1P Lipo Smart Battery Pack with AS150U-F Plug,TATTU,LiPo,22000,9,25,12,1,4.2,2.73,6.3,978,176,1133.74,https://genstattu.com/tattu-pro-22000mah-44-4v-25c-12s-1p-lipo-smart-battery-pack-with-as150u-f-plug/,
Tattu Plus 3.0 25000mAh 51.8V 14S1P 25C Lipo Smart Battery Pack with Molex Plug,TATTU,LiPo,25000,9,25,14,1,4.2,2.73,9.6,1356,153.13,1084.07,https://genstattu.com/tattu-plus-3.0-25000mah-51-8v-14s1p-25c-lipo-smart-battery-pack-with-molex-plug/,
Tattu Plus 3.0 22000mAh 51.8V 25C 14S1P Lipo Smart Battery Pack with Molex Plug,TATTU,LiPo,22000,9,25,14,1,4.2,2.73,8.8,1222,147,1058.59,https://genstattu.com/tattu-plus-3-0-22000mah-51-8v-25c-14s1p-lipo-smart-battery-pack-with-molex-plug/,
Tattu G-Tech 6S 12000mAh 30C 22.2V Lipo Battery Pack with EC5 Plug for UAV Drone,TATTU,LiPo,12000,30,30,6,1,4.2,2.73,1.532,269,197.39,1124.16,https://genstattu.com/tattu-30c-22.2v-12000-6s1p-ec5.html,
Tattu 44.4V 30C 12S 10000mAh Lipo Battery Pack with AS150U Plug for UAV Drone,TATTU,LiPo,10000,30,30,12,1,4.2,2.73,2.8,433,180,1163.97,https://genstattu.com/ta-30c-10000-12s1p-as150u.html,
Tattu 40000mAh 6S 10C 22.8V High Voltage UAV Lipo Battery Pack with AS150+AS150 Plug,TATTU,High Voltage LiPo,40000,10,10,6,1,4.3,2.8,4.13,865.2,249.88,1192.79,https://genstattu.com/tattu-40000mah-6s-10c-22-8v-high-voltage-uav-lipo-battery-pack-with-as150-as150-plug/,
Tattu G-Tech 6S 22000mAh 30C 22.2V Lipo Battery with XT90-S Plug for UAV,TATTU,LiPo,22000,30,30,6,1,4.2,2.73,2.46,476,225.37,1164.71,https://genstattu.com/tattu-22-2v-30c-6s-22000mah-lipo-battery-with-xt90-s-plug-for-uav.html,
